id,province,city,name,rooms,area,price,district,address,status,origin_url
117,河南,新郑,万科美景魅力之城,3居,95~97平米,10300元/㎡,[航空港区],雍周路与飞航路交叉口,在售,https://meilizhichengwkmj.fang.com/
118,河南,新郑,恒基水榭华城,3居,88~100平米,9400元/㎡,[新郑市],东三环与双湖大道交汇处向东200米,在售,https://hengjishuizhuang.fang.com/
119,河南,新郑,正商兰庭华府,3居/5居,117~190平米,9500元/㎡,[新郑市],郑新快速路与祥云路交会处东南角,在售,https://lantinghuafuzs.fang.com/
120,河南,新郑,正商智慧城,2居/3居/4居,88~190平米,10000元/㎡,[新郑市],绕城高速以北、十八里河以东、郑新快速...,在售,https://zszhc.fang.com/
121,河南,新郑,美盛中华城,2居/3居/4居,78~144平米,8300元/㎡,[新郑市],中华路与107连接线交汇处(华南城地铁站...,在售,https://zhonghuachengms.fang.com/
122,河南,新郑,正弘中央公园,3居/4居,88~143平米,10300元/㎡,[航空港区],太湖路与雍州路交汇处,在售,https://zhongyanggongyuanzh.fang.com/
123,河南,新郑,永丰乐城,2居/3居/4居/5居以上,80~237平米,10000元/㎡,[新郑市],紫荆山南路与祥云路交叉口,在售,https://yongfenglecheng.fang.com/
124,河南,新郑,郑州孔雀城,2居/3居,78~134平米,8100元/㎡,[新郑市],郑新快速路与107连接线交叉口西南,在售,https://kongquechengzz.fang.com/
125,河南,新郑,新郑碧桂园双湖城,3居/4居,115~138平米,11000元/㎡,[新郑市],双湖大道与龙湖大道(京广快速路)交会处...,在售,https://shuanghuchengbgy.fang.com/
126,河南,新郑,龙湖天宸原著,4居,120~150平米,9500元/㎡,[新郑市],郑新快速路与祥云路交会处东南,在售,https://tianchenyuanzhulh0371.fang.com/
127,河南,新郑,坤达江山筑,3居/4居,88~147平米,8600元/㎡,[新郑市],紫荆山南路和新老107连接线交汇处,在售,https://jiangshanzhukd.fang.com/
128,河南,新郑,正商玖号院,2居/3居,84~131平米,8800元/㎡,[新郑市],泰山路与紫荆山南路交会处,在售,https://jiuhaoyuanlh.fang.com/
129,河南,郑州,亚星环翠居,2居/3居,78~127平米,12000元/㎡,[二七区],嵩山路南三环交叉口西南角,在售,https://huancuijuyx.fang.com/
130,河南,郑州,亚星金运外滩,2居/3居/4居,89~191平米,12500元/㎡起,[二七区],工人路与南三环西南角,在售,https://jinyunwaitanyx.fang.com/
131,河南,郑州,朗悦公园府,2居/3居/4居,67~135平米,15400元/㎡,[高新区],梧桐街与雪松路交叉口西北角,在售,https://gongyuanfuly.fang.com/
